Wavelength,Alexa647,Alexa700,APC,FITC,PacificBlue,PE,PE_Cy7,Percp_Cy5_5,BV510,PE_Dazzle,BV605,APC_Cy7,BV421,Alexa488,DAPI,eFluor780,SB436,SB702
439,0,1.910601,0,11.96,11.80844,3.271511231,4.0015577,84.9964568,27.002,4.534,0,2.322,0.321,7.81806,-0.114815633,1.157812515,6.859561247,3.144078679
440,0,1.851084,0,12.30855,10.47774,3.477218225,4.1726922,85.4501923,25.497,4.723,0,2.281,0.317,8.266864,-0.097151689,1.076735977,6.056917036,2.445508506
441,0,1.829535,0,13.01476,9.118275,3.675224958,4.3674024,85.715416,24.09,4.928,0,2.241,0.312,8.692244,-0.119231618,0.989727009,5.175431665,1.898263375
442,0,1.79875,0,13.24332,8.149351,3.906232812,4.5774789,85.9954317,22.774,5.152,0,2.203,0.309,9.068214,-0.079487746,0.929413975,5.163890209,1.487132645
443,0,1.749495,0,13.98674,6.985158,4.147141003,4.7839769,86.2076794,21.542,5.398,0,2.165,0.305,9.560127,-0.030470302,0.87503337,4.997658784,1.186310532
444,0,1.724867,0,14.28365,6.164193,4.441951026,5.0201551,86.3752073,20.385,5.667,0,2.128,0.302,10.05637,-0.145727534,0.818675288,4.263914256,0.950857495
445,0,1.701368,0,14.98986,5.343228,4.726860713,5.3070632,86.5011111,19.296,5.961,0,2.091,0.299,10.52486,-0.132479576,0.756384777,4.250259377,0.763798233
446,0,1.680845,0,15.62697,4.739796,5.079972719,5.579868,86.594335,18.27,6.282,0,2.056,0.296,11.1213,-0.123647604,0.750452348,4.098259768,0.630280404
447,0,1.648008,0,16.56858,3.988868,5.408883902,5.9074021,86.7253989,17.301,6.631,0,2.021,0.293,11.73722,-0.132479576,0.661465903,3.600695134,0.506848936
448,0,1.606859,0,17.03255,3.570965,5.780696544,6.2698789,86.636303,16.386,7.01,0,1.988,0.29,12.35354,-0.15014352,0.684206884,3.332824962,0.426359304
449,0,1.601831,0,18.02656,2.972635,6.15910941,6.6386705,86.641119,15.52,7.42,0,1.955,0.288,13.05233,-0.198719364,0.63476997,3.537980533,0.357793481
450,0,1.547444,1.832702,18.74872,2.657236,6.614524894,7.0720849,86.6909989,14.7,7.861,0,1.922,0.286,13.8338,-0.189887392,0.6407024,3.527440566,0.292883918
451,0,1.521688,1.791748,19.72071,2.138219,7.1029415,7.5044468,86.7381268,13.922,8.335,0,1.891,0.283,14.58575,0,0.607085298,3.570687559,0.246780633
452,0,1.483823,1.730316,20.78382,1.896568,7.607858667,7.9860651,86.7333109,13.185,8.842,0,1.86,0.281,15.60323,0,0.611040252,3.234713967,0.205386682
453,0,1.461247,1.668885,21.93046,1.729592,8.17206785,8.4891541,86.8853587,12.485,9.382,0,1.83,0.279,16.43391,0,0.580389365,3.181363787,0.177832331
454,0,1.408811,1.617692,23.13785,1.544063,8.765098013,9.0817046,86.9944066,11.821,9.956,0,1.801,0.277,17.4575,0,0.581378103,2.798765454,0.1612185
455,0,1.422253,1.576738,24.25336,1.372449,9.425120454,9.6870954,87.3081342,11.189,10.563,0,1.773,0.275,18.47144,0,0.581378103,3.071836405,0.137437162
456,0,1.392495,1.505068,25.43037,1.18692,10.07194245,10.3467946,87.6583258,10.588,11.204,0,1.745,0.273,19.60329,0,0.575445674,3.402129503,0.135243724
457,0,1.349396,1.464114,26.87392,1.075603,10.83096825,11.0140718,88.1044933,10.017,11.878,0,1.719,0.272,20.6759,0,0.527986237,3.50157502,0.125560534
458,0,1.314507,1.412921,28.218,0.992115,11.58999406,11.7249219,88.6583327,9.474,12.585,0,1.693,0.27,21.93786,0,0.519087592,3.114969979,0.096327647
459,0,1.306195,1.35149,29.59245,0.8205009,12.41282204,12.5062886,89.0577162,8.958,13.325,0,1.668,0.268,23.0892,0,0.523042545,2.929878992,0.104055998
460,0,1.272434,1.300297,30.9669,0.7050093,13.25435065,13.3026007,89.5007878,8.466,14.096,0,1.644,0.267,24.3866,0,0.508211471,3.064211423,0.087531721
461,0,1.237442,1.259343,32.40894,0.5004638,14.09477922,14.1382758,90.137531,7.998,14.898,0,1.621,0.265,25.66785,0,0.528974975,3.09962343,0.084813374
462,0,1.215996,1.197911,33.51077,0.6539889,15.03641124,14.9802659,90.4646747,7.552,15.729,0,1.598,0.264,26.97686,0,0.487447968,2.8639335,0.093600528
463,0,1.187263,1.167196,34.80853,0.4545455,15.90544078,15.8576195,90.8922662,7.128,16.589,0,1.577,0.262,28.28588,0,0.483493015,3.270479687,0.077780799
464,0,1.140984,1.13648,36.06224,0.3752319,16.89217433,16.7242377,91.05257,6.725,17.479,0,1.557,0.261,29.61457,0,0.494369136,3.033754774,0.094941858
465,0,1.121487,1.085287,37.53541,0.3242115,17.74250325,17.5919085,91.2397058,6.341,18.398,0,1.538,0.26,30.89228,0,0.458774558,3.122586457,0.115504025
466,0,1.096859,1.06481,38.31679,0.3061225,18.72483664,18.5046257,91.5850814,5.976,19.346,0,1.519,0.258,32.14598,0,0.478549323,2.641374171,0.108075355
