Wavelength,Alexa Fluor 647,Alexa Fluor 647,Alexa Fluor 700,Alexa Fluor 700,APC ,APC ,FITC,FITC,Pacific Blue,Pacific Blue,"PE (R-PE, R-phycoerythrin)","PE (R-PE, R-phycoerythrin)",PE-Cy7,PE-Cy7,PerCP-Cy5.5,PerCP-Cy5.5
Wavelength,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission
448,0,0,1.606859,0,0,0,17.03255,0,3.570965,91.49166,5.780696544,0,6.2698789,0,86.636303,0
449,0,0,1.601831,0,0,0,18.02656,0,2.972635,93.48002,6.15910941,0,6.6386705,0,86.641119,0
450,0,0,1.547444,0,1.832702,0,18.74872,0,2.657236,95.01439,6.614524894,0,7.0720849,0,86.6909989,0
451,0,0,1.521688,0,1.791748,0,19.72071,0,2.138219,96.45779,7.1029415,0,7.5044468,0,86.7381268,0
452,0,0,1.483823,0,1.730316,0,20.78382,0,1.896568,97.73399,7.607858667,0,7.9860651,0,86.7333109,0
453,0,0,1.461247,0,1.668885,0,21.93046,0,1.729592,98.69891,8.17206785,0,8.4891541,0,86.8853587,0
454,0,0,1.408811,0,1.617692,0,23.13785,0,1.544063,99.47516,8.765098013,0,9.0817046,0,86.9944066,0
455,0,0,1.422253,0,1.576738,0,24.25336,0,1.372449,100,9.425120454,0,9.6870954,0,87.3081342,0
456,0,0,1.392495,0,1.505068,0,25.43037,0,1.18692,99.58424,10.07194245,0,10.3467946,0,87.6583258,0
457,0,0,1.349396,0,1.464114,0,26.87392,0,1.075603,99.35834,10.83096825,0,11.0140718,0,88.1044933,0
458,0,0,1.314507,0,1.412921,0,28.218,0,0.992115,98.64607,11.58999406,0,11.7249219,0,88.6583327,0
459,0,0,1.306195,0,1.35149,0,29.59245,0,0.8205009,97.80166,12.41282204,0,12.5062886,0,89.0577162,0
460,0,0,1.272434,0,1.300297,0,30.9669,0,0.7050093,97.06574,13.25435065,0,13.3026007,0,89.5007878,0
461,0,0,1.237442,0,1.259343,0,32.40894,0,0.5004638,95.90404,14.09477922,0,14.1382758,0,90.137531,0
462,0,0,1.215996,0,1.197911,0,33.51077,0,0.6539889,94.43401,15.03641124,0,14.9802659,0,90.4646747,0
463,0,0,1.187263,0,1.167196,0,34.80853,0,0.4545455,92.81658,15.90544078,0,15.8576195,0,90.8922662,0
464,0,0,1.140984,0,1.13648,0,36.06224,0,0.3752319,91.29401,16.89217433,0,16.7242377,0,91.05257,0
465,0,0,1.121487,0,1.085287,0,37.53541,0,0.3242115,89.83582,17.74250325,0,17.5919085,0,91.2397058,0
466,0,0,1.096859,0,1.06481,0,38.31679,0,0.3061225,88.22964,18.72483664,0,18.5046257,0,91.5850814,0
467,0,0,1.073257,0,1.034094,0,39.77477,0,0.2133581,85.88976,19.58616593,0,19.3748224,0,91.7773772,0
